,Mode,,Frequency,,Isotopologue
MODE,102,FREQUENCY=,998.68362,(CM**-1),CHHHH
MODE,103,FREQUENCY=,1010.04531,(CM**-1),CHHHH
MODE,104,FREQUENCY=,1011.42827,(CM**-1),CHHHH
MODE,105,FREQUENCY=,1014.73522,(CM**-1),CHHHH
MODE,106,FREQUENCY=,1017.15874,(CM**-1),CHHHH
MODE,107,FREQUENCY=,1024.6457,(CM**-1),CHHHH
MODE,108,FREQUENCY=,1026.49414,(CM**-1),CHHHH
MODE,109,FREQUENCY=,1037.10774,(CM**-1),CHHHH
MODE,110,FREQUENCY=,1043.08526,(CM**-1),CHHHH
MODE,111,FREQUENCY=,1058.65581,(CM**-1),CHHHH
MODE,112,FREQUENCY=,1065.39096,(CM**-1),CHHHH
MODE,113,FREQUENCY=,1068.02501,(CM**-1),CHHHH
MODE,114,FREQUENCY=,1070.35097,(CM**-1),CHHHH
MODE,115,FREQUENCY=,1071.13363,(CM**-1),CHHHH
MODE,116,FREQUENCY=,1072.6726,(CM**-1),CHHHH
MODE,117,FREQUENCY=,1092.74566,(CM**-1),CHHHH
MODE,118,FREQUENCY=,1095.65345,(CM**-1),CHHHH
MODE,119,FREQUENCY=,1154.14457,(CM**-1),CHHHH
MODE,120,FREQUENCY=,1169.76332,(CM**-1),CHHHH
MODE,121,FREQUENCY=,1178.40891,(CM**-1),CHHHH
MODE,122,FREQUENCY=,1183.11942,(CM**-1),CHHHH
MODE,123,FREQUENCY=,1222.97547,(CM**-1),CHHHH
MODE,124,FREQUENCY=,1249.65342,(CM**-1),CHHHH
MODE,125,FREQUENCY=,1257.27025,(CM**-1),CHHHH
MODE,126,FREQUENCY=,1260.62492,(CM**-1),CHHHH
MODE,127,FREQUENCY=,1298.50338,(CM**-1),CHHHH
MODE,128,FREQUENCY=,1299.50206,(CM**-1),CHHHH
MODE,129,FREQUENCY=,1315.1242,(CM**-1),CHHHH
MODE,130,FREQUENCY=,1348.77469,(CM**-1),CHHHH
MODE,131,FREQUENCY=,1350.4632,(CM**-1),CHHHH
MODE,132,FREQUENCY=,1370.04814,(CM**-1),CHHHH
MODE,133,FREQUENCY=,1381.30932,(CM**-1),CHHHH
MODE,134,FREQUENCY=,1389.56368,(CM**-1),CHHHH
MODE,135,FREQUENCY=,1399.96397,(CM**-1),CHHHH
MODE,136,FREQUENCY=,1428.44476,(CM**-1),CHHHH
MODE,137,FREQUENCY=,1429.9979,(CM**-1),CHHHH
MODE,138,FREQUENCY=,1433.43746,(CM**-1),CHHHH
MODE,139,FREQUENCY=,1438.75596,(CM**-1),CHHHH
MODE,140,FREQUENCY=,1443.48546,(CM**-1),CHHHH
MODE,141,FREQUENCY=,1447.82385,(CM**-1),CHHHH
MODE,142,FREQUENCY=,1471.25952,(CM**-1),CHHHH
MODE,143,FREQUENCY=,1476.13308,(CM**-1),CHHHH
MODE,144,FREQUENCY=,1477.43474,(CM**-1),CHHHH
MODE,145,FREQUENCY=,1478.68113,(CM**-1),CHHHH
MODE,146,FREQUENCY=,1479.97595,(CM**-1),CHHHH
MODE,147,FREQUENCY=,1482.4442,(CM**-1),CHHHH
MODE,148,FREQUENCY=,1483.39253,(CM**-1),CHHHH
MODE,149,FREQUENCY=,1487.57761,(CM**-1),CHHHH
MODE,150,FREQUENCY=,1488.63797,(CM**-1),CHHHH
MODE,151,FREQUENCY=,1489.48949,(CM**-1),CHHHH
MODE,152,FREQUENCY=,1490.05528,(CM**-1),CHHHH
MODE,153,FREQUENCY=,1491.25238,(CM**-1),CHHHH
MODE,154,FREQUENCY=,1503.96595,(CM**-1),CHHHH
MODE,155,FREQUENCY=,1511.66587,(CM**-1),CHHHH
MODE,156,FREQUENCY=,1512.37568,(CM**-1),CHHHH
MODE,157,FREQUENCY=,1542.07117,(CM**-1),CHHHH
MODE,158,FREQUENCY=,1543.23655,(CM**-1),CHHHH
MODE,159,FREQUENCY=,1594.26625,(CM**-1),CHHHH
MODE,160,FREQUENCY=,1616.20668,(CM**-1),CHHHH
MODE,161,FREQUENCY=,1617.41007,(CM**-1),CHHHH
MODE,162,FREQUENCY=,1623.83446,(CM**-1),CHHHH
MODE,163,FREQUENCY=,1650.17896,(CM**-1),CHHHH
MODE,164,FREQUENCY=,1720.79433,(CM**-1),CHHHH
MODE,165,FREQUENCY=,1724.66594,(CM**-1),CHHHH
MODE,166,FREQUENCY=,3056.12719,(CM**-1),CHHHH
MODE,167,FREQUENCY=,3060.0521,(CM**-1),CHHHH
MODE,168,FREQUENCY=,3060.41278,(CM**-1),CHHHH
MODE,169,FREQUENCY=,3064.3963,(CM**-1),CHHHH
MODE,170,FREQUENCY=,3064.63428,(CM**-1),CHHHH
MODE,171,FREQUENCY=,3065.70426,(CM**-1),CHHHH
MODE,172,FREQUENCY=,3079.74236,(CM**-1),CHHHH
MODE,173,FREQUENCY=,3128.13875,(CM**-1),CHHHH
MODE,174,FREQUENCY=,3134.72234,(CM**-1),CHHHH
MODE,175,FREQUENCY=,3136.619,(CM**-1),CHHHH
MODE,176,FREQUENCY=,3140.43417,(CM**-1),CHHHH
MODE,177,FREQUENCY=,3140.8836,(CM**-1),CHHHH
MODE,178,FREQUENCY=,3142.2731,(CM**-1),CHHHH
MODE,179,FREQUENCY=,3148.08917,(CM**-1),CHHHH
MODE,180,FREQUENCY=,3158.90706,(CM**-1),CHHHH
MODE,181,FREQUENCY=,3169.73717,(CM**-1),CHHHH
MODE,182,FREQUENCY=,3175.31027,(CM**-1),CHHHH
MODE,183,FREQUENCY=,3175.44826,(CM**-1),CHHHH
