f_100,d13C_100,dD_100,D13CH3D_100,D12CH2D2_100,f_66,d13C_66,dD_66,D13CH3D_66,D12CH2D2_66,f_33,d13C_33,dD_33,D13CH3D_33,D12CH2D2_33,f_0,d13C_0,dD_0,D13CH3D_0,D12CH2D2_0
0.99972,-41.36264,-169.43967,3.10666,8.2272,0.99972,-41.36251,-169.44013,3.1072,8.22688,0.99972,-41.36239,-169.44063,3.10773,8.22659,0.99972,-41.36228,-169.44113,3.10826,8.2263
0.99971,-41.3624,-169.43781,3.10661,8.22694,0.99971,-41.36227,-169.43828,3.10717,8.22661,0.99971,-41.36215,-169.4388,3.10772,8.22631,0.99971,-41.36203,-169.43932,3.10826,8.22601
0.9997,-41.36217,-169.43594,3.10656,8.22668,0.9997,-41.36204,-169.43644,3.10714,8.22634,0.9997,-41.36191,-169.43697,3.1077,8.22603,0.9997,-41.36179,-169.43751,3.10827,8.22572
0.99969,-41.36194,-169.43408,3.1065,8.22642,0.99969,-41.3618,-169.43459,3.1071,8.22607,0.99969,-41.36167,-169.43514,3.10769,8.22575,0.99969,-41.36155,-169.43569,3.10827,8.22543
0.99968,-41.36171,-169.43221,3.10645,8.22616,0.99968,-41.36156,-169.43274,3.10707,8.2258,0.99968,-41.36143,-169.43331,3.10767,8.22547,0.99968,-41.3613,-169.43388,3.10828,8.22514
0.99967,-41.36148,-169.43035,3.1064,8.22591,0.99967,-41.36133,-169.4309,3.10704,8.22553,0.99967,-41.36119,-169.43148,3.10766,8.22519,0.99967,-41.36106,-169.43207,3.10828,8.22485
0.99966,-41.36124,-169.42848,3.10635,8.22565,0.99966,-41.36109,-169.42905,3.107,8.22526,0.99966,-41.36095,-169.42965,3.10765,8.22491,0.99966,-41.36081,-169.43026,3.10829,8.22456
0.99965,-41.36101,-169.42662,3.10629,8.22539,0.99965,-41.36086,-169.4272,3.10697,8.22499,0.99965,-41.36071,-169.42783,3.10763,8.22463,0.99965,-41.36057,-169.42845,3.10829,8.22427
0.99964,-41.36078,-169.42475,3.10624,8.22513,0.99964,-41.36062,-169.42535,3.10694,8.22473,0.99964,-41.36047,-169.426,3.10762,8.22435,0.99964,-41.36032,-169.42664,3.1083,8.22398
0.99963,-41.36055,-169.42289,3.10619,8.22487,0.99963,-41.36038,-169.42351,3.10691,8.22446,0.99963,-41.36023,-169.42417,3.1076,8.22408,0.99963,-41.36008,-169.42483,3.1083,8.22369
0.99962,-41.36032,-169.42102,3.10614,8.22462,0.99962,-41.36015,-169.42166,3.10687,8.22419,0.99962,-41.35999,-169.42234,3.10759,8.2238,0.99962,-41.35983,-169.42301,3.10831,8.2234
