series,quantity,n,raw_rmse,scaled_rmse,scaled_ss
ANME2d,ln(c/c0),4,0.0012799119762986943,0.09940463991405678,0.03952512974577316
ANME2d,ln(d/d0),4,0.02320905425489612,0.1871234974213083,0.14006081314872948
ANME2d,DeltaCD,4,0.19219434709213828,0.15702152540207376,0.09862303775837637
ANME2d,DeltaDD,4,3.2580152430134177,0.2680170486190702,0.28733255340190816
AOM_P,ln(c/c0),7,0.0012198224698952243,0.14534562618708946,0.14787745736202002
AOM_P,ln(d/d0),7,0.0196441274390829,0.1399252283798184,0.1370534867600104
AOM_P,DeltaCD,7,1.0110930454096594,0.1025553347610974,0.07362317681572528
AOM_P,DeltaDD,7,6.062146160847011,0.15437485448692378,0.16682116988501228
ALL,ALL,44,,0.15745972247455098,1.090916824877555
