,Mode,,Frequency,,Isotopologue
,,,2344.239,,CDHHD
,,,3167.8166,,CDHHD
,,,3249.9008,,CDHHD
,,,3814.378,,CDHHD
12-1-2-2-1,,,,,
,,,-1781.8768,,CHDDH
,,,15.5311,,CHDDH
,,,274.0418,,CHDDH
,,,300.9108,,CHDDH
,,,743.1877,,CHDDH
,,,906.0051,,CHDDH
,,,1039.2443,,CHDDH
,,,1065.2068,,CHDDH
,,,1249.4834,,CHDDH
,,,1320.1225,,CHDDH
,,,1410.1461,,CHDDH
,,,2282.5417,,CHDDH
,,,2411.5564,,CHDDH
,,,3212.3669,,CHDDH
,,,3814.4505,,CHDDH
12-2-1-2-1,,,,,
,,,-1781.8767,,CDHDH
,,,15.5311,,CDHDH
,,,274.0422,,CDHDH
,,,300.9105,,CDHDH
,,,743.1872,,CDHDH
,,,906.0051,,CDHDH
,,,1039.2443,,CDHDH
,,,1065.2067,,CDHDH
,,,1249.4846,,CDHDH
,,,1320.1225,,CDHDH
,,,1410.1453,,CDHDH
,,,2282.5416,,CDHDH
,,,2411.5563,,CDHDH
,,,3212.367,,CDHDH
,,,3814.4505,,CDHDH
12-2-2-1-1,,,,,
,,,-1774.7795,,CDDHH
,,,15.4353,,CDDHH
,,,254.6605,,CDDHH
,,,331.3225,,CDDHH
,,,725.4391,,CDDHH
,,,915.5206,,CDDHH
,,,1044.8511,,CDDHH
,,,1117.112,,CDDHH
,,,1153.2603,,CDDHH
,,,1320.3084,,CDDHH
,,,1444.2948,,CDDHH
,,,2281.5728,,CDDHH
,,,2414.0478,,CDDHH
,,,3210.1164,,CDDHH
,,,3814.4494,,CDDHH
