series,quantity,n,raw_rmse,scaled_rmse,scaled_ss
ANME2d,ln(c/c0),4,0.002905870462169708,0.22568505668975997,0.20373497925224066
ANME2d,ln(d/d0),4,0.01662244199759175,0.1340187949113021,0.07184414955791063
ANME2d,DeltaCD,4,0.19067869730717366,0.1557832494339654,0.09707368321682033
ANME2d,DeltaDD,4,4.05736782305032,0.3337749114059163,0.44562276593610917
AOM_P,ln(c/c0),7,0.0015719285785812873,0.18730015982973586,0.24556944910571218
AOM_P,ln(d/d0),7,0.0258454793663775,0.18409749245116339,0.23724320708764313
AOM_P,DeltaCD,7,0.6059766575069435,0.06146431255775875,0.026445032027385018
AOM_P,DeltaDD,7,7.499388240154253,0.19097476992422144,0.25529953923326515
ALL,ALL,44,,0.18966674155051097,1.5828328054170864
