series,run_name,sample_id,rev1,rev2,rev3,gammaCDff2p,gammaCDff2s,gammaDDff2pp,gammaDDff2ps,gammaCDff3,f,ln(c/c0),ln(d/d0),DeltaCD,DeltaDD,solve_seconds,t_end,tmax,event_reached,f_stop
ANME2d,central,0,0.34,0.95,0.04,0.9749,1.0,0.9256,0.9255,1.0,0.3,0.03656639937054376,0.2378292998064027,2.4762024091833794,-13.904110885608544,4.120112895965576,53.45388885495466,500.0,True,0.295
ANME2d,central,0,0.34,0.95,0.04,0.9749,1.0,0.9256,0.9255,1.0,0.30588235294117644,0.03600958197241219,0.23473910487714594,2.375274125845397,-14.044552331993716,4.120112895965576,53.45388885495466,500.0,True,0.295
ANME2d,central,0,0.34,0.95,0.04,0.9749,1.0,0.9256,0.9255,1.0,0.31176470588235294,0.03546231676885723,0.23168768288202268,2.2775639361088524,-14.172605672520241,4.120112895965576,53.45388885495466,500.0,True,0.295
ANME2d,central,0,0.34,0.95,0.04,0.9749,1.0,0.9256,0.9255,1.0,0.3176470588235294,0.034924299701211414,0.2286739244733235,2.182964577859747,-14.28876360020471,4.120112895965576,53.45388885495466,500.0,True,0.295
ANME2d,central,0,0.34,0.95,0.04,0.9749,1.0,0.9256,0.9255,1.0,0.32352941176470584,0.03439522753291707,0.22569670407832682,2.0913645098876072,-14.393531468419832,4.120112895965576,53.45388885495466,500.0,True,0.295
ANME2d,central,0,0.34,0.95,0.04,0.9749,1.0,0.9256,0.9255,1.0,0.32941176470588235,0.03387479976424219,0.2227548899721741,2.002649149568013,-14.487423246676315,4.120112895965576,53.45388885495466,500.0,True,0.295
ANME2d,central,0,0.34,0.95,0.04,0.9749,1.0,0.9256,0.9255,1.0,0.3352941176470588,0.03336273078937708,0.21984740404359332,1.916709949293402,-14.570924169810125,4.120112895965576,53.45388885495466,500.0,True,0.295
ANME2d,central,0,0.34,0.95,0.04,0.9749,1.0,0.9256,0.9255,1.0,0.3411764705882353,0.0328587423127559,0.21697318570805482,1.8334394651316046,-14.644510767853532,4.120112895965576,53.45388885495466,500.0,True,0.295
ANME2d,central,0,0.34,0.95,0.04,0.9749,1.0,0.9256,0.9255,1.0,0.34705882352941175,0.032362576288319705,0.2141312567757124,1.7527404735010232,-14.70861471171647,4.120112895965576,53.45388885495466,500.0,True,0.295
ANME2d,central,0,0.34,0.95,0.04,0.9749,1.0,0.9256,0.9255,1.0,0.3529411764705882,0.03187401243947332,0.211320809776868,1.6745389418847152,-14.763570035059589,4.120112895965576,53.45388885495466,500.0,True,0.295
ANME2d,central,0,0.34,0.95,0.04,0.9749,1.0,0.9256,0.9255,1.0,0.3588235294117647,0.031392820654364224,0.20854097424942936,1.5987508230194476,-14.80974762143103,4.120112895965576,53.45388885495466,500.0,True,0.295
ANME2d,central,0,0.34,0.95,0.04,0.9749,1.0,0.9256,0.9255,1.0,0.36470588235294116,0.030918775588059035,0.2057908893313816,1.5252921895742726,-14.847514985510896,4.120112895965576,53.45388885495466,500.0,True,0.295
ANME2d,central,0,0.34,0.95,0.04,0.9749,1.0,0.9256,0.9255,1.0,0.37058823529411766,0.030451663320459538,0.2030697374753942,1.4540840459048074,-14.877217135736865,4.120112895965576,53.45388885495466,500.0,True,0.295
ANME2d,central,0,0.34,0.95,0.04,0.9749,1.0,0.9256,0.9255,1.0,0.3764705882352941,0.029991269084258206,0.20037668442624498,1.3850435976538877,-14.899212577445965,4.120112895965576,53.45388885495466,500.0,True,0.295
ANME2d,central,0,0.34,0.95,0.04,0.9749,1.0,0.9256,0.9255,1.0,0.38235294117647056,0.029537413611776364,0.19771106042935147,1.318110860887383,-14.913764334032127,4.120112895965576,53.45388885495466,500.0,True,0.295
