series,run_name,sample_id,rev1,rev2,rev3,gammaCDff2p,gammaCDff2s,gammaDDff2pp,gammaDDff2ps,gammaCDff3,f,ln(c/c0),ln(d/d0),DeltaCD,DeltaDD,solve_seconds,t_end,tmax,event_reached,f_stop
AOM_P,central,0,0.73,0.65,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.2,0.00787569911054833,0.16713886766800617,19.13737725215851,59.87321270553309,0.03725433349609375,149.2124754772724,500.0,True,0.195
AOM_P,central,0,0.73,0.65,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.20672268907563027,0.007794201223231134,0.16551420735984115,18.806988453891908,58.529404230626,0.03725433349609375,149.2124754772724,500.0,True,0.195
AOM_P,central,0,0.73,0.65,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.21344537815126052,0.007713308520459004,0.163899381722661,18.483549384157406,57.2231738934907,0.03725433349609375,149.2124754772724,500.0,True,0.195
AOM_P,central,0,0.73,0.65,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.22016806722689078,0.0076329931479335094,0.16229386650556762,18.166669497620948,55.952178123036326,0.03725433349609375,149.2124754772724,500.0,True,0.195
AOM_P,central,0,0.73,0.65,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.22689075630252103,0.0075532448591228134,0.16069749295821426,17.8562038231431,54.71558965662949,0.03725433349609375,149.2124754772724,500.0,True,0.195
AOM_P,central,0,0.73,0.65,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.23361344537815126,0.007474046062395311,0.15910994186443508,17.551910016134833,53.51198887013452,0.03725433349609375,149.2124754772724,500.0,True,0.195
AOM_P,central,0,0.73,0.65,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.24033613445378152,0.007395371360095194,0.15753073263940287,17.253438779603496,52.339292093179544,0.03725433349609375,149.2124754772724,500.0,True,0.195
AOM_P,central,0,0.73,0.65,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.24705882352941178,0.00731720709865511,0.1559596235321419,16.960608311876705,51.196463059396486,0.03725433349609375,149.2124754772724,500.0,True,0.195
AOM_P,central,0,0.73,0.65,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.253781512605042,0.007239540807144003,0.154396395463242,16.673254665750157,50.082577035715914,0.03725433349609375,149.2124754772724,500.0,True,0.195
AOM_P,central,0,0.73,0.65,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.2605042016806723,0.00716235573411577,0.15284073960520725,16.391153574054705,48.996327705717036,0.03725433349609375,149.2124754772724,500.0,True,0.195
AOM_P,central,0,0.73,0.65,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.26722689075630257,0.007085633591480443,0.1512923135648518,16.114059873760887,47.936275044335325,0.03725433349609375,149.2124754772724,500.0,True,0.195
AOM_P,central,0,0.73,0.65,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.2739495798319328,0.007009356087546574,0.1497507728658992,15.841729021877097,46.9009795674085,0.03725433349609375,149.2124754772724,500.0,True,0.195
AOM_P,central,0,0.73,0.65,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.280672268907563,0.00693351767745131,0.1482160344423537,15.574092381205979,45.890092499070946,0.03725433349609375,149.2124754772724,500.0,True,0.195
AOM_P,central,0,0.73,0.65,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.2873949579831933,0.006858108790682731,0.1466879312111061,15.31102713165755,44.90292971880609,0.03725433349609375,149.2124754772724,500.0,True,0.195
AOM_P,central,0,0.73,0.65,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.29411764705882354,0.006783115816336322,0.1451662114856935,15.052355546492045,43.93846488715846,0.03725433349609375,149.2124754772724,500.0,True,0.195
AOM_P,central,0,0.73,0.65,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.3008403361344538,0.00670852185003023,0.14365055431603146,14.79785656750779,42.995403563503224,0.03725433349609375,149.2124754772724,500.0,True,0.195
