series,quantity,n,raw_rmse,scaled_rmse,scaled_ss
ANME2d,ln(c/c0),4,0.0024020897943335525,0.18655882237891758,0.13921677682963407
ANME2d,ln(d/d0),4,0.016600289807726407,0.13384019240567568,0.07165278841275316
ANME2d,DeltaCD,4,0.18488599873487963,0.15105065256117617,0.09126519855662864
ANME2d,DeltaDD,4,4.422860148588209,0.3638417364748444,0.5295232368041205
AOM_P,ln(c/c0),7,0.001275905486658043,0.15202809137446469,0.1617877839687381
AOM_P,ln(d/d0),7,0.0361509419495691,0.2575033594200289,0.464155860788204
AOM_P,DeltaCD,7,0.614547886893945,0.06233369377157368,0.027198425654458267
AOM_P,DeltaDD,7,11.002151030347777,0.2801739547823417,0.5494821145686435
ALL,ALL,44,,0.21502019913482864,2.03428218558318
