series,run_name,sample_id,rev1,rev2,rev3,gammaCDff2p,gammaCDff2s,gammaDDff2pp,gammaDDff2ps,gammaCDff3,f,ln(c/c0),ln(d/d0),DeltaCD,DeltaDD,solve_seconds,t_end,tmax,event_reached,f_stop
Irreversible model,central,0,0.0,0.0,0.0,0.9749,1.0,0.9256,0.9255,1.0,0.4504201680672269,0.04703467766220821,0.17845164912827585,-10.332859582828272,-31.46132089853378,0.028532981872558594,30.27424646725167,500.0,True,0.395
Irreversible model,central,0,0.0,0.0,0.0,0.9749,1.0,0.9256,0.9255,1.0,0.4554621848739496,0.046386528353223114,0.17599264331955516,-10.19125440748731,-31.034536367913784,0.028532981872558594,30.27424646725167,500.0,True,0.395
Irreversible model,central,0,0.0,0.0,0.0,0.9749,1.0,0.9256,0.9255,1.0,0.4605042016806723,0.04574521872317308,0.17355958314579623,-10.051122217754017,-30.61207243840649,0.028532981872558594,30.27424646725167,500.0,True,0.395
Irreversible model,central,0,0.0,0.0,0.0,0.9749,1.0,0.9256,0.9255,1.0,0.46554621848739497,0.04511060600755573,0.17115192716409836,-9.912432448177332,-30.193840620262588,0.028532981872558594,30.27424646725167,500.0,True,0.395
Irreversible model,central,0,0.0,0.0,0.0,0.9749,1.0,0.9256,0.9255,1.0,0.47058823529411764,0.04448255156856163,0.16876914938560997,-9.775155505073402,-29.77975517460761,0.028532981872558594,30.27424646725167,500.0,True,0.395
Irreversible model,central,0,0.0,0.0,0.0,0.9749,1.0,0.9256,0.9255,1.0,0.47563025210084037,0.0438609211087793,0.16641074033604739,-9.639262695140582,-29.369732965749705,0.028532981872558594,30.27424646725167,500.0,True,0.395
Irreversible model,central,0,0.0,0.0,0.0,0.9749,1.0,0.9256,0.9255,1.0,0.48067226890756304,0.04324558401217491,0.16407620425835281,-9.5047262226516,-28.963693369176514,0.028532981872558594,30.27424646725167,500.0,True,0.395
Irreversible model,central,0,0.0,0.0,0.0,0.9749,1.0,0.9256,0.9255,1.0,0.4857142857142857,0.042636414479914904,0.1617650642168359,-9.371519064073087,-28.561558137696675,0.028532981872558594,30.27424646725167,500.0,True,0.395
Irreversible model,central,0,0.0,0.0,0.0,0.9749,1.0,0.9256,0.9255,1.0,0.49075630252100844,0.0420332906361603,0.159476858270544,-9.23961497648227,-28.163251288772347,0.028532981872558594,30.27424646725167,500.0,True,0.395
Irreversible model,central,0,0.0,0.0,0.0,0.9749,1.0,0.9256,0.9255,1.0,0.4957983193277311,0.04143609358347472,0.15721113538780662,-9.10898853023927,-27.768699068111854,0.028532981872558594,30.27424646725167,500.0,True,0.395
Irreversible model,central,0,0.0,0.0,0.0,0.9749,1.0,0.9256,0.9255,1.0,0.5008403361344538,0.04084470784224728,0.1549674574650796,-8.979615040525951,-27.37782985587716,0.028532981872558594,30.27424646725167,500.0,True,0.395
Irreversible model,central,0,0.0,0.0,0.0,0.9749,1.0,0.9256,0.9255,1.0,0.5058823529411764,0.040259021327068406,0.15274539930643122,-8.851470530349685,-26.990574079200925,0.028532981872558594,30.27424646725167,500.0,True,0.395
