,Mode,,Frequency,,Isotopologue
MODE,102,FREQUENCY=,997.34393,(CM**-1),CHHHH
MODE,103,FREQUENCY=,1016.53902,(CM**-1),CHHHH
MODE,104,FREQUENCY=,1021.20233,(CM**-1),CHHHH
MODE,105,FREQUENCY=,1027.13057,(CM**-1),CHHHH
MODE,106,FREQUENCY=,1034.07045,(CM**-1),CHHHH
MODE,107,FREQUENCY=,1035.18158,(CM**-1),CHHHH
MODE,108,FREQUENCY=,1038.58346,(CM**-1),CHHHH
MODE,109,FREQUENCY=,1047.66677,(CM**-1),CHHHH
MODE,110,FREQUENCY=,1054.67099,(CM**-1),CHHHH
MODE,111,FREQUENCY=,1072.11908,(CM**-1),CHHHH
MODE,112,FREQUENCY=,1077.86778,(CM**-1),CHHHH
MODE,113,FREQUENCY=,1081.84792,(CM**-1),CHHHH
MODE,114,FREQUENCY=,1085.14879,(CM**-1),CHHHH
MODE,115,FREQUENCY=,1089.93953,(CM**-1),CHHHH
MODE,116,FREQUENCY=,1092.84637,(CM**-1),CHHHH
MODE,117,FREQUENCY=,1101.48333,(CM**-1),CHHHH
MODE,118,FREQUENCY=,1103.61804,(CM**-1),CHHHH
MODE,119,FREQUENCY=,1157.46592,(CM**-1),CHHHH
MODE,120,FREQUENCY=,1174.90681,(CM**-1),CHHHH
MODE,121,FREQUENCY=,1183.69589,(CM**-1),CHHHH
MODE,122,FREQUENCY=,1205.71423,(CM**-1),CHHHH
MODE,123,FREQUENCY=,1214.49735,(CM**-1),CHHHH
MODE,124,FREQUENCY=,1265.24185,(CM**-1),CHHHH
MODE,125,FREQUENCY=,1268.28052,(CM**-1),CHHHH
MODE,126,FREQUENCY=,1274.14450,(CM**-1),CHHHH
MODE,127,FREQUENCY=,1301.47889,(CM**-1),CHHHH
MODE,128,FREQUENCY=,1305.91546,(CM**-1),CHHHH
MODE,129,FREQUENCY=,1309.61693,(CM**-1),CHHHH
MODE,130,FREQUENCY=,1356.78851,(CM**-1),CHHHH
MODE,131,FREQUENCY=,1361.82213,(CM**-1),CHHHH
MODE,132,FREQUENCY=,1367.62607,(CM**-1),CHHHH
MODE,133,FREQUENCY=,1393.42307,(CM**-1),CHHHH
MODE,134,FREQUENCY=,1404.79468,(CM**-1),CHHHH
MODE,135,FREQUENCY=,1410.59060,(CM**-1),CHHHH
MODE,136,FREQUENCY=,1428.64194,(CM**-1),CHHHH
MODE,137,FREQUENCY=,1441.11051,(CM**-1),CHHHH
MODE,138,FREQUENCY=,1444.09752,(CM**-1),CHHHH
