Sample,Description,d13C,cse,dD,dse,D13CH3D,cdse,D12CH2D2,ddse,f,fse,label
"Liu et al., 2023, GCA",Experiment 1_High sulfate_Replicate 1_T1,-36.051,0.003,-87.085,0.018,9.819,0.101,25.823,0.508,0.6461,,AOM_P
"Liu et al., 2023, GCA",Experiment 1_High sulfate_Replicate 1_T2,-33.88,0.004,-42.708,0.019,11.97,0.11,39.489,0.492,0.4744,,AOM_P
"Liu et al., 2023, GCA",Experiment 1_High sulfate_Replicate 2_T0*,-37.571,0.003,-144.844,0.021,2.854,0.124,7.514,0.658,1,,AOM_P
"Liu et al., 2023, GCA",Experiment 1_High sulfate_Replicate 2_T1,-35.726,0.004,-71.437,0.02,9.434,0.105,31.199,0.521,0.577,,AOM_P
"Liu et al., 2023, GCA",Experiment 1_High sulfate_Replicate 2_T2,-33.664,0.004,-25.316,0.023,13.969,0.116,45.519,0.557,0.4118,,AOM_P
"Liu et al., 2023, GCA",Experiment 2_High sulfate_T0**,-37.875,0.003,-144.542,0.02,3.038,0.179,7.502,0.652,1,,AOM_P
"Liu et al., 2023, GCA",Experiment 2_High sulfate_T1,-33.806,0.003,-32.455,0.022,12.671,0.113,40.745,0.538,0.4548,,AOM_P
"Liu et al., 2023, GCA",Experiment 2_High sulfate_T2,-31.504,0.003,10.831,0.021,16.111,0.147,52.967,0.62,0.3471,,AOM_P
"Liu et al., 2023, GCA",Experiment 2_High sulfate_T3,-28.234,0.005,50.883,0.023,19.477,0.254,65.08,0.669,0.2603,,AOM_P
,,,,,,,,,,,,
"Krause et al., 2022",,-39.93,0.006,-147.79,0.038,2.27,0.22,6.11,1,1,,P1
"Krause et al., 2022",,-30.11,0.004,21.37,0.028,1.1,0.15,-6.14,0.77,0.5168,,P1
"Krause et al., 2022",,-30.07,0.006,21.31,0.029,1.1,0.15,-4.28,0.98,0.5196,,P1
"Krause et al., 2022",,-30.37,0.014,21.04,0.02,1.46,0.4,5.79,0.56,0.5156,,P1
"Krause et al., 2022",,-37.41,0.004,-145.01,0.021,3.08,0.13,6.42,0.7,1,,P1
"Krause et al., 2022",,-36.47,0.006,-123.23,0.021,2.33,0.13,7.14,0.76,0.9688,,P1
"Krause et al., 2022",,-34.59,0.005,-76.74,0.025,1.97,0.2,3.9,0.89,0.7356,,P1
"Krause et al., 2022",,-33.29,0.005,-51.79,0.022,1.67,0.18,2.53,0.6,0.6733,,P1
"Krause et al., 2022",,-31.22,0.004,-3.17,0.021,0.7,0.12,-5.35,0.67,0.6114,,P1
"Krause et al., 2022",,-31.15,0.004,-2.14,0.023,1.4,0.12,-6.65,0.67,0.5701,,P1
,,,,,,,,,,,,
"Wang et al., 2016",,-38.27,0.03827,-150.12,0.15012,2.61,0.43,,,1,0.05,P2
"Wang et al., 2016",,-37.94,0.03794,-147.2,0.1472,2.66,0.34,,,0.95,0.07,P2
"Wang et al., 2016",,-33.31,0.03331,-111.79,0.11179,1.36,0.34,,,0.84,0.06,P2
"Wang et al., 2016",,-24,0.024,-33.36,0.03336,-0.01,0.6,,,0.22,0.02,P2
"Wang et al., 2016",,-8.81,0.00881,123.9,0.1239,-1.48,0.6,,,0.1,0.01,P2
"Wang et al., 2016",,-39.06,0.03906,-163.57,0.16357,2.17,0.59,,,1,0.05,P2
"Wang et al., 2016",,-36.45,0.03645,-144.23,0.14423,1.82,0.53,,,0.95,0.07,P2
"Wang et al., 2016",,-29.68,0.02968,-88.51,0.08851,-0.48,0.3,,,0.58,0.04,P2
"Wang et al., 2016",,-20.95,0.02095,-9.2,0.0092,-1.82,0.36,,,0.47,0.03,P2
"Wang et al., 2016",,-16.39,0.01639,36.83,0.03683,-1.87,0.38,,,0.36,0.03,P2
