f,ln(c/c0)_median,ln(c/c0)_central,ln(c/c0)_lo_1sigma,ln(c/c0)_hi_1sigma,ln(c/c0)_lo_2sigma,ln(c/c0)_hi_2sigma,ln(c/c0)_lo,ln(c/c0)_hi,ln(d/d0)_median,ln(d/d0)_central,ln(d/d0)_lo_1sigma,ln(d/d0)_hi_1sigma,ln(d/d0)_lo_2sigma,ln(d/d0)_hi_2sigma,ln(d/d0)_lo,ln(d/d0)_hi,DeltaCD_median,DeltaCD_central,DeltaCD_lo_1sigma,DeltaCD_hi_1sigma,DeltaCD_lo_2sigma,DeltaCD_hi_2sigma,DeltaCD_lo,DeltaCD_hi,DeltaDD_median,DeltaDD_central,DeltaDD_lo_1sigma,DeltaDD_hi_1sigma,DeltaDD_lo_2sigma,DeltaDD_hi_2sigma,DeltaDD_lo,DeltaDD_hi
0.2,0.09752276366819451,0.09752276366619464,0.09752276366601562,0.09752276367021048,0.0975227636642608,0.09752276367274355,0.09752276366601562,0.09752276367021048,0.36973511418866234,0.36973511417987626,0.3697351141792237,0.36973511419746635,0.3697351141711505,0.3697351142069792,0.3697351141792237,0.36973511419746635,-33.23757265106508,-33.23757265074979,-33.23757265193836,-33.237572650146994,-33.23757265302154,-33.237572649390785,-33.23757265193836,-33.237572650146994,-72.6892914394792,-72.68929143817432,-72.68929144161334,-72.68929143737165,-72.68929144421739,-72.6892914355078,-72.68929144161334,-72.68929143737165
0.20672268907563027,0.09560783211007925,0.09560783210820027,0.09560783210725264,0.09560783211298145,0.09560783210462136,0.0956078321158963,0.09560783210725264,0.09560783211298145,0.3624761691809195,0.36247616917382275,0.3624761691721919,0.362476169188636,0.3624761691657331,0.36247616919665754,0.3624761691721919,0.362476169188636,-32.59619721397103,-32.5961972129132,-32.59619721691218,-32.596197210608906,-32.59619722043036,-32.59619720808262,-32.59619721691218,-32.596197210608906,-71.31366012183756,-71.31366011632144,-71.31366013548038,-71.31366010606773,-71.31366015134294,-71.3136600939642,-71.31366013548038,-71.31366010606773
0.21344537815126052,0.09374879948093429,0.09374879947722065,0.09374879947177298,0.09374879948890964,0.09374879946531145,0.0937487994980557,0.09374879947177298,0.09374879948890964,0.3554289723482976,0.35542897233140364,0.35542897230793447,0.3554289723815355,0.3554289722802131,0.35542897242222815,0.35542897230793447,0.3554289723815355,-31.97316056143884,-31.973160561040068,-31.973160562526058,-31.973160560310234,-31.973160563714437,-31.973160559306635,-31.973160562526058,-31.973160560310234,-69.97643346185801,-69.97643346062455,-69.97643346319778,-69.97643346047299,-69.97643346456229,-69.97643345928583,-69.97643346319778,-69.97643346047299
0.22016806722689078,0.09194261237033044,0.09194261236619324,0.09194261236034605,0.09194261237872846,0.09194261235350762,0.0919426123885774,0.09194261236034605,0.09194261237872846,0.3485820404057019,0.3485820403868673,0.3485820403610919,0.3485820404424296,0.3485820403304262,0.3485820404869049,0.3485820403610919,0.3485820404424296,-31.367438722949924,-31.367438722625298,-31.36743872367541,-31.367438722166398,-31.3674387244568,-31.367438721550577,-31.36743872367541,-31.367438722166398,-68.67543343387166,-68.67543343352416,-68.67543343630632,-68.67543343156953,-68.67543343836881,-68.67543342949399,-68.67543343630632,-68.67543343156953
0.22689075630252103,0.0901863808424894,0.09018638083925995,0.09018638083504434,0.09018638084933543,0.09018638082956205,0.09018638085665062,0.09018638083504434,0.09018638084933543,0.34192447309251134,0.34192447307871177,0.34192447306145435,0.3419244731209538,0.34192447303807993,0.34192447315254715,0.34192447306145435,0.3419244731209538,-30.778072726397106,-30.778072725797838,-30.77807272769233,-30.778072725000882,-30.778072729031027,-30.778072723863126,-30.77807272769233,-30.778072725000882,-67.40862337587407,-67.40862337401705,-67.40862337870082,-67.40862337262251,-67.40862338188816,-67.40862337028173,-67.40862337870082,-67.40862337262251
0.23361344537815126,0.08847740630967155,0.08847740630691162,0.08847740630471976,0.08847740631408088,0.0884774063009062,0.08847740631899591,0.08847740630471976,0.08847740631408088,0.3354460345557607,0.33544603454510913,0.33544603453797045,0.33544603457186983,0.3354460345238409,0.33544603459030004,0.33544603453797045,0.33544603457186983,-30.204192175608345,-30.204192174681342,-30.20419217772144,-30.20419217321028,-30.204192180012868,-30.20419217138026,-30.20419217772144,-30.20419217321028,-66.17421116515763,-66.17421116138784,-66.17421117380819,-66.17421115553888,-66.17421118311566,-66.17421114864304,-66.17421117380819,-66.17421115553888
0.24033613445378152,0.08681320221619142,0.08681320221408298,0.08681320221315607,0.0868132022191183,0.08681320221054686,0.08681320222204496,0.08681320221315607,0.0868132022191183,0.32913728740698844,0.32913728739974824,0.3291372873987777,0.3291372874150817,0.3291372873917824,0.329137287423127,0.3291372873987777,0.3291372874150817,-29.644997425510347,-29.64499742432146,-29.644997428461473,-29.64499742214934,-29.644997431871026,-29.644997419692068,-29.644997428461473,-29.64499742214934,-64.97055808475642,-64.97055807906396,-64.97055809880828,-64.97055806887278,-64.97055811477047,-64.97055805695975,-64.97055809880828,-64.97055806887278
0.24705882352941178,0.08519147179943717,0.08519147179734736,0.08519147179603165,0.08519147180272477,0.08519147179309451,0.08519147180618891,0.08519147179603165,0.08519147180272477,0.32298951056874414,0.3229895105610265,0.3229895105584109,0.32298951057896375,0.3229895105498073,0.32298951058903014,0.3229895105584109,0.32298951057896375,-29.099751331297163,-29.09975133026005,-29.09975133393032,-29.09975132831616,-29.099751336938876,-29.099751326069637,-29.09975133393032,-29.09975132831616,-63.79615793294166,-63.79615792776636,-63.7961579450417,-63.79615791933688,-63.79615795852564,-63.79615790901438,-63.7961579450417,-63.79615791933688
0.253781512605042,0.08361009169926928,0.08361009169679226,0.08361009169444537,0.0836100917036283,0.0836100916907194,0.08361009170822443,0.08361009169444537,0.0836100917036283,0.3169946391671087,0.3169946391572398,0.3169946391492049,0.3169946391829286,0.3169946391356433,0.316994639200823,0.3169946391492049,0.3169946391829286,-28.567773351654665,-28.56777335088698,-28.567773353617774,-28.567773349523463,-28.567773355715516,-28.56777334776702,-28.567773353617774,-28.567773349523463,-62.64962553917453,-62.64962553539672,-62.64962554695035,-62.64962553027195,-62.64962555542794,-62.6496255240255,-62.64962554695035,-62.64962553027195
0.2605042016806723,0.08206710345819512,0.08206710345474409,0.08206710345006703,0.08206710346519426,0.08206710344432307,0.08206710347308728,0.08206710345006703,0.08206710346519426,0.3111452540449298,0.31114525402964155,0.3111452540103,0.31114525407396565,0.3111452539858589,0.3111452541076623,0.3111452540103,0.31114525407396565,-28.04842630468476,-28.048426304149043,-28.048426306033093,-28.048426303255937,-28.048426307368498,-28.048426302048643,-28.048426306033093,-28.048426303255937,-61.52963894500871,-61.529638942966926,-61.52963894811966,-61.52963894146403,-61.52963895146117,-61.52963893881713,-61.52963894811966,-61.52963894146403
