series,run_name,rev1,rev2,rev3,gammaCDff2,gammaDDff2,f,ln(c/c0),ln(d/d0),DeltaCD,DeltaDD,central_rev1,central_rev2,central_rev3,central_gammaCDff2,central_gammaDDff2,solve_seconds,t_end,tmax,event_reached,f_stop
AOM_LS,central,0.9,0.96,0.96,0.979,0.92,0.542016806722689,-0.02491322627268028,0.09152078375666792,17.802361715953232,53.041748384295005,0.9,0.96,0.96,0.979,0.92,0.046231985092163086,252.76382124559132,500.0,True,0.495
AOM_LS,central,0.9,0.96,0.96,0.979,0.92,0.5462184873949579,-0.024681136728802226,0.0913174897765027,17.7369119314936,52.68691318939771,0.9,0.96,0.96,0.979,0.92,0.046231985092163086,252.76382124559132,500.0,True,0.495
AOM_LS,central,0.9,0.96,0.96,0.979,0.92,0.5504201680672269,-0.024449386377162936,0.091108617429873,17.669980678889736,52.327727621724804,0.9,0.96,0.96,0.979,0.92,0.046231985092163086,252.76382124559132,500.0,True,0.495
AOM_LS,central,0.9,0.96,0.96,0.979,0.92,0.5546218487394958,-0.02421797380924231,0.09089405235821559,17.601555320642024,51.9642129021355,0.9,0.96,0.96,0.979,0.92,0.046231985092163086,252.76382124559132,500.0,True,0.495
AOM_LS,central,0.9,0.96,0.96,0.979,0.92,0.5588235294117647,-0.023986897615056815,0.09067367640240591,17.531623169276504,51.59639355206582,0.9,0.96,0.96,0.979,0.92,0.046231985092163086,252.76382124559132,500.0,True,0.495
AOM_LS,central,0.9,0.96,0.96,0.979,0.92,0.5630252100840336,-0.023756156387661608,0.09044736784092605,17.460171672914658,51.224298115538986,0.9,0.96,0.96,0.979,0.92,0.046231985092163086,252.76382124559132,500.0,True,0.495
AOM_LS,central,0.9,0.96,0.96,0.979,0.92,0.5672268907563025,-0.023525748718699287,0.09021500063722475,17.387188358357694,50.84795971482267,0.9,0.96,0.96,0.979,0.92,0.046231985092163086,252.76382124559132,500.0,True,0.495
AOM_LS,central,0.9,0.96,0.96,0.979,0.92,0.5714285714285714,-0.023295672997994874,0.08997640505565582,17.312658450816198,50.46745109871545,0.9,0.96,0.96,0.979,0.92,0.046231985092163086,252.76382124559132,500.0,True,0.495
AOM_LS,central,0.9,0.96,0.96,0.979,0.92,0.5756302521008403,-0.0230659279764805,0.08973147868415716,17.23657155782717,50.08278530654862,0.9,0.96,0.96,0.979,0.92,0.046231985092163086,252.76382124559132,500.0,True,0.495
AOM_LS,central,0.9,0.96,0.96,0.979,0.92,0.5798319327731092,-0.022836515751154314,0.08948007474160209,17.15890325673495,49.693917582760776,0.9,0.96,0.96,0.979,0.92,0.046231985092163086,252.76382124559132,500.0,True,0.495
AOM_LS,central,0.9,0.96,0.96,0.979,0.92,0.5840336134453782,-0.0226074318403267,0.08922213137774761,17.079656983594305,49.30091707835849,0.9,0.96,0.96,0.979,0.92,0.046231985092163086,252.76382124559132,500.0,True,0.495
AOM_LS,central,0.9,0.96,0.96,0.979,0.92,0.5882352941176471,-0.022378674495280998,0.08895745482702792,16.998818697002125,48.90388566217579,0.9,0.96,0.96,0.979,0.92,0.046231985092163086,252.76382124559132,500.0,True,0.495
AOM_LS,central,0.9,0.96,0.96,0.979,0.92,0.592436974789916,-0.022150242814507736,0.08868599786372136,16.916380805984964,48.50277949879407,0.9,0.96,0.96,0.979,0.92,0.046231985092163086,252.76382124559132,500.0,True,0.495
AOM_LS,central,0.9,0.96,0.96,0.979,0.92,0.5966386554621849,-0.0219221354155815,0.08840761442520824,16.832331543646198,48.09765128780221,0.9,0.96,0.96,0.979,0.92,0.046231985092163086,252.76382124559132,500.0,True,0.495
AOM_LS,central,0.9,0.96,0.96,0.979,0.92,0.6008403361344538,-0.02169435079220933,0.08812213056580125,16.74665840015362,47.68858206608666,0.9,0.96,0.96,0.979,0.92,0.046231985092163086,252.76382124559132,500.0,True,0.495
AOM_LS,central,0.9,0.96,0.96,0.979,0.92,0.6050420168067226,-0.021466887841985652,0.08782944951457994,16.65935187161216,47.27557402533907,0.9,0.96,0.96,0.979,0.92,0.046231985092163086,252.76382124559132,500.0,True,0.495
AOM_LS,central,0.9,0.96,0.96,0.979,0.92,0.6092436974789917,-0.02123974535202401,0.0875294495291744,16.570401787113244,46.85865481992961,0.9,0.96,0.96,0.979,0.92,0.046231985092163086,252.76382124559132,500.0,True,0.495
AOM_LS,central,0.9,0.96,0.96,0.979,0.92,0.6134453781512605,-0.021012921946673275,0.08722197108927632,16.479796863667406,46.43789026635813,0.9,0.96,0.96,0.979,0.92,0.046231985092163086,252.76382124559132,500.0,True,0.495
AOM_LS,central,0.9,0.96,0.96,0.979,0.92,0.6176470588235294,-0.020786416270167366,0.08690685548087769,16.387526074765905,46.01334496119934,0.9,0.96,0.96,0.979,0.92,0.046231985092163086,252.76382124559132,500.0,True,0.495
AOM_LS,central,0.9,0.96,0.96,0.979,0.92,0.6218487394957983,-0.020560227238283966,0.08658401097209041,16.29358096021152,45.58501577211528,0.9,0.96,0.96,0.979,0.92,0.046231985092163086,252.76382124559132,500.0,True,0.495
