series,run_name,sample_id,rev1,rev2,rev3,gammaCDff2p,gammaCDff2s,gammaDDff2pp,gammaDDff2ps,gammaCDff3,f,ln(c/c0),ln(d/d0),DeltaCD,DeltaDD,solve_seconds,t_end,tmax,event_reached,f_stop
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.2739495798319328,0.0265671661445596,0.2266088959497283,9.299057931400684,7.960791990981634,0.05239605903625488,80.56972513688488,500.0,True,0.195
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.280672268907563,0.02615542593800128,0.22354177774202294,9.055497579830266,7.349606194325599,0.05239605903625488,80.56972513688488,500.0,True,0.195
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.2873949579831933,0.025750613183078946,0.2205137870920381,8.819109301026334,6.765324829934121,0.05239605903625488,80.56972513688488,500.0,True,0.195
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.29411764705882354,0.02535245095365499,0.2175234042362832,8.58955091983362,6.206522323657454,0.05239605903625488,80.56972513688488,500.0,True,0.195
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.3008403361344538,0.02496070649332384,0.21456938274409768,8.366555696603,5.67213198127428,0.05239605903625488,80.56972513688488,500.0,True,0.195
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.30756302521008405,0.024575151536576054,0.21165048753436783,8.14985639863039,5.161071765728609,0.05239605903625488,80.56972513688488,500.0,True,0.195
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.3142857142857143,0.024195559043410603,0.20876547420772276,7.939179332801192,4.672214842301084,0.05239605903625488,80.56972513688488,500.0,True,0.195
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.32100840336134456,0.02382171676169905,0.20591318051781368,7.734271209506195,4.204523330514415,0.05239605903625488,80.56972513688488,500.0,True,0.195
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.32773109243697485,0.023453413463211708,0.2030924326095629,7.534877557940441,3.7569533410304476,0.05239605903625488,80.56972513688488,500.0,True,0.195
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.3344537815126051,0.023090473798115956,0.20030228840920766,7.3407977719857165,3.328696528525856,0.05239605903625488,80.56972513688488,500.0,True,0.195
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.3411764705882353,0.022732733246364645,0.19754186583487932,7.1518461511990035,2.919010096367175,0.05239605903625488,80.56972513688488,500.0,True,0.195
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.34789915966386553,0.022380022119155695,0.19481023268574812,6.967826552854541,2.5271047504358712,0.05239605903625488,80.56972513688488,500.0,True,0.195
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.3546218487394958,0.02203217794358549,0.1921064932562981,6.788551721859038,2.1522286777219786,0.05239605903625488,80.56972513688488,500.0,True,0.195
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.3613445378151261,0.021689040581923693,0.18942975582132263,6.6138350512791755,1.7936284044265003,0.05239605903625488,80.56972513688488,500.0,True,0.195
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.3680672268907563,0.021350467855950492,0.18677924105772753,6.443516825318569,1.4506708873383802,0.05239605903625488,80.56972513688488,500.0,True,0.195
