f,ln(c/c0)_median,ln(c/c0)_central,ln(c/c0)_lo_1sigma,ln(c/c0)_hi_1sigma,ln(c/c0)_lo_2sigma,ln(c/c0)_hi_2sigma,ln(c/c0)_lo,ln(c/c0)_hi,ln(d/d0)_median,ln(d/d0)_central,ln(d/d0)_lo_1sigma,ln(d/d0)_hi_1sigma,ln(d/d0)_lo_2sigma,ln(d/d0)_hi_2sigma,ln(d/d0)_lo,ln(d/d0)_hi,DeltaCD_median,DeltaCD_central,DeltaCD_lo_1sigma,DeltaCD_hi_1sigma,DeltaCD_lo_2sigma,DeltaCD_hi_2sigma,DeltaCD_lo,DeltaCD_hi,DeltaDD_median,DeltaDD_central,DeltaDD_lo_1sigma,DeltaDD_hi_1sigma,DeltaDD_lo_2sigma,DeltaDD_hi_2sigma,DeltaDD_lo,DeltaDD_hi
0.3,0.03655006768988257,0.03656639937054376,0.03471211159322179,0.038720654845899115,0.03189037608799479,0.04086444501756441,0.03471211159322179,0.038720654845899115,0.23781983863069878,0.2378292998064027,0.23563147884255475,0.24026103622198536,0.2322636460104213,0.242519649287492,0.23563147884255475,0.24026103622198536,2.3848464771223963,2.4762024091833794,0.718913118680022,4.27777199327724,-0.7632975014832538,6.157425459082063,0.718913118680022,4.27777199327724,-14.071301121689267,-13.904110885608544,-16.557043231109784,-11.41635248037503,-19.058902790558065,-8.392701739322044,-16.557043231109784,-11.41635248037503
0.30588235294117644,0.035993502448866066,0.03600958197241219,0.034185910264924124,0.03812966921139674,0.03140730235514643,0.04023935505603372,0.034185910264924124,0.03812966921139674,0.23473710081242324,0.23473910487714594,0.2326060781541547,0.23707824431573518,0.22938347784573568,0.23926016151008864,0.2326060781541547,0.23707824431573518,2.2834401850529606,2.375274125845397,0.6462077773340994,4.152616314682245,-0.8136301958878078,6.004968162276387,0.6462077773340994,4.152616314682245,-14.203121946167574,-14.044552331993716,-16.622245787388426,-11.616439212375766,-19.076040475395242,-8.655250431837699,-16.622245787388426,-11.616439212375766
0.31176470588235294,0.03544649671627659,0.03546231676885723,0.03366869212169224,0.03754887431831331,0.030932489404238577,0.03962506343148472,0.03366869212169224,0.03754887431831331,0.2316911936297871,0.23168768288202268,0.22963407522814486,0.2339452690274791,0.22653512364495387,0.23604468002189571,0.22963407522814486,0.2339452690274791,2.1852953228537433,2.2775639361088524,0.5772063715802784,4.031014054416578,-0.8615621328798442,5.856444670193131,0.5772063715802784,4.031014054416578,-14.329263284337728,-14.172605672520241,-16.677109186090586,-11.79128021994902,-19.083880159994177,-8.902553326546316,-16.677109186090586,-11.79128021994902
0.3176470588235294,0.03490871392972658,0.034924299701211414,0.03316014682860888,0.036977914628327314,0.030465646321908856,0.03902121194254226,0.03316014682860888,0.036977914628327314,0.22867731517497875,0.2286739244733235,0.22668902125080087,0.2308563670793937,0.2237147346129165,0.23287189556341112,0.22668902125080087,0.2308563670793937,2.0902992912866325,2.182964577859747,0.5108001078640907,3.9128325316049444,-0.9082067976855254,5.711700827015403,0.5108001078640907,3.9128325316049444,-14.454603830859178,-14.28876360020471,-16.73735889077473,-11.958442261957467,-19.08290841812289,-9.135205037249403,-16.73735889077473,-11.958442261957467
0.32352941176470584,0.034379860970609424,0.03439522753291707,0.03265915857906875,0.036416458407839504,0.030005606024595698,0.03842744968106249,0.03265915857906875,0.036416458407839504,0.2257052878323839,0.22569670407832682,0.2237917489979994,0.22780261160545956,0.22092505826653483,0.22974046583143795,0.2237917489979994,0.22780261160545956,2.000903780966942,2.0913645098876072,0.44690452549224,3.7979416189084616,-0.9536170600365973,5.570603961238259,0.44690452549224,3.7979416189084616,-14.568151540867813,-14.393531468419832,-16.79293405572246,-12.123288648485184,-19.073511498001892,-9.353811293050727,-16.79293405572246,-12.123288648485184
0.32941176470588235,0.03385982366713686,0.03387479976424219,0.03216582850288903,0.03586417920529421,0.029552964379148207,0.03784345499027425,0.03216582850288903,0.03586417920529421,0.22277045658477235,0.2227548899721741,0.22093915127765992,0.2247811417738628,0.21816515803665967,0.22664910817990702,0.22093915127765992,0.2247811417738628,1.914578816992662,2.002649149568013,0.3838325784583323,3.686219022140117,-0.9968282872279831,5.433029547258403,0.3838325784583323,3.686219022140117,-14.670422945434627,-14.487423246676315,-16.839435076079923,-12.258486630129877,-19.056055394300376,-9.558968811071948,-16.839435076079923,-12.258486630129877
0.3352941176470588,0.03334819521892929,0.03336273078937708,0.031680407520360256,0.0353210896352112,0.029107574627347678,0.03726890291021948,0.031680407520360256,0.0353210896352112,0.21986567516890304,0.21984740404359332,0.2181056705432242,0.22178906810844562,0.21543423999081834,0.22359652095789948,0.2181056705432242,0.22178906810844562,1.8309701278439265,1.916709949293402,0.31902747019526917,3.577539596727339,-1.0379232710871102,5.298848934085461,0.31902747019526917,3.577539596727339,-14.750443367454492,-14.570924169810125,-16.875266912684527,-12.38251264433268,-19.02834531685524,-9.751244338968943,-16.875266912684527,-12.38251264433268
0.3411764705882353,0.03284464812148201,0.0328587423127559,0.031202643118326438,0.03478818430729178,0.028669216589287536,0.036703489275764056,0.031202643118326438,0.03478818430729178,0.21699013085052915,0.21697318570805482,0.2152988531531601,0.21884348701701237,0.2127314727954211,0.22058155757592568,0.2152988531531601,0.21884348701701237,1.7499936894307724,1.8334394651316046,0.2556931475870623,3.471812275182055,-1.0769864513663798,5.1679495029454845,0.2556931475870623,3.471812275182055,-14.822431099891222,-14.644510767853532,-16.894747901256032,-12.495796634338612,-18.988997056246784,-9.931184236403446,-16.894747901256032,-12.495796634338612
0.34705882352941175,0.03234892930893782,0.032362576288319705,0.0307322951696897,0.03426351355598573,0.028237660128680425,0.03614690723372487,0.0307322951696897,0.03426351355598573,0.21414300037680262,0.2141312567757124,0.2125201878943687,0.21592714101068197,0.2100560166942324,0.21760308577815496,0.2125201878943687,0.21592714101068197,1.6715568014459905,1.7527404735010232,0.1947430071696644,3.368937057164142,-1.114093208157805,5.040223591271161,0.1947430071696644,3.368937057164142,-14.890610087444868,-14.70861471171647,-16.90600353616173,-12.610051519572512,-18.94295017686546,-10.103422395452348,-16.90600353616173,-12.610051519572512
0.3529411764705882,0.03186078450369703,0.03187401243947332,0.030269134956665066,0.033746833112376314,0.027812705709556185,0.03559888281614825,0.030269134956665066,0.033746833112376314,0.21134509751626313,0.211320809776868,0.20976724037055972,0.21304445033674896,0.20739827051454454,0.21466005526844878,0.20976724037055972,0.21304445033674896,1.5949185942525113,1.6745389418847152,0.136084497019249,3.2688127864535557,-1.1493222182207177,4.915569408110738,0.136084497019249,3.2688127864535557,-14.949412119978206,-14.763570035059589,-16.909405882918232,-12.715371244611969,-18.89052450182893,-10.272682578637015,-16.909405882918232,-12.715371244611969
