series,run_name,rev1,rev2,rev3,gammaCDff2,gammaDDff2,f,ln(c/c0),ln(d/d0),DeltaCD,DeltaDD,central_rev1,central_rev2,central_rev3,central_gammaCDff2,central_gammaDDff2,solve_seconds,t_end,tmax,event_reached,f_stop
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.24369747899159663,0.008157865680243797,0.16673361763459296,17.883099346922833,50.26915999197764,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.25126050420168067,0.007997017988372893,0.16476890824824544,17.553207034759303,49.32631239496692,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.2588235294117647,0.007840228942792281,0.162818189120183,17.229886136923856,48.403914101301545,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.26638655462184874,0.007687296954877267,0.1608809272016368,16.912863490288235,47.50108337341821,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.2739495798319328,0.007538064676308723,0.15895675029199804,16.601948511501263,46.617268467738654,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.2815126050420168,0.00739235000359502,0.15704514551143514,16.2968832505085,45.75161728632389,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.2890756302521008,0.00724996587284498,0.1551455495927739,15.997386516673789,44.90316254155603,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.2966386554621849,0.007110782207362516,0.15325763490334007,15.703293128125036,44.071416302811265,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.30420168067226894,0.006974678526607684,0.1513810948412714,15.41445008049514,43.25593054291049,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.31176470588235294,0.006841495749917235,0.14951541827120346,15.130607369565716,42.455827784841546,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.31932773109243695,0.006711111325594932,0.14766025370463953,14.851592467354829,41.670555791269514,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.326890756302521,0.00658342844836196,0.14581535805108808,14.577285941621197,40.89978360028898,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.3344537815126051,0.006458332792319028,0.1439803800977354,14.30751800590726,40.142948553775156,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.3420168067226891,0.006335701192582323,0.14215490541431192,14.042089606350558,39.39934717935956,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.3495798319327731,0.006215432156402931,0.1403386137795424,13.780847140417789,38.668466457039266,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.3571428571428571,0.006097455486648207,0.13853133057044228,13.523707012958821,37.95009523017464,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.3647058823529412,0.00598169151766556,0.13673281987093505,13.270557299389209,37.24388951124309,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.3722689075630252,0.0058680464975795635,0.13494275571052725,13.021244862038204,36.54931202836966,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.3798319327731092,0.00575643459561327,0.13316084251120527,12.775631127811787,35.86588253079999,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.38739495798319323,0.005646794674142426,0.13138692246192957,12.533639324192743,35.19339732011818,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.39495798319327735,0.00553906860539916,0.12962084138078425,12.295195476970797,34.53165907551945,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.40252100840336136,0.005433183048693493,0.12786233637169994,12.0601785321285,33.88024635492403,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.41008403361344536,0.005329063127138533,0.12611112503175861,11.828458997788175,33.238691479899025,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.41764705882352937,0.005226656678751347,0.12436704678762023,11.599963140619838,32.606777361651375,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.4252100840336135,0.0051259262859038755,0.12263001795580271,11.374652680022795,31.984445557800637,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.4327731092436975,0.005026811710275642,0.12089981497604801,11.152426205292164,31.371341816133082,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.4403361344537815,0.004929256856462194,0.11917623074189457,10.933190002700623,30.767141889482755,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.4478991596638655,0.004833200635327301,0.1174590156129378,10.71683209737365,30.17142821640179,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.4554621848739496,0.0047385923355999695,0.1157479788464646,10.503266736531376,29.583902355506762,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.46302521008403363,0.004645406154222082,0.11404308482800853,10.2924767477106,29.004588504707648,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.47058823529411764,0.004553603453362135,0.11234420667672355,10.084405373482582,28.433318717821514,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.47815126050420165,0.00446313990846799,0.11065117317057414,9.878976653466921,27.86982888284645,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.48571428571428577,0.004373971695752073,0.10896380880419511,9.676113129405886,27.313842676803695,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.49327731092436977,0.004286053840700711,0.10728192275100125,9.475731040175136,26.76504821783031,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.5008403361344538,0.004199354968582681,0.10560541256145639,9.27778491156896,26.223316232513255,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.5084033613445378,0.004113854869162645,0.10393424797461888,9.082260701540358,25.688668050398967,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.5159663865546219,0.004029517844690372,0.10226828488559854,8.889095710945238,25.16088439622438,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.5235294117647059,0.003946310262286922,0.10060738821370852,8.698231315167682,24.639762275379624,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.5310924369747899,0.0038641951774809726,0.09895139323498513,8.509596683369002,24.125034420346715,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.5386554621848739,0.0037831400056460222,0.09730016166926929,8.323132320004834,23.616486206223957,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.546218487394958,0.003703131340495815,0.09565368990347138,8.138835605659938,23.11418245729691,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.553781512605042,0.00362414367962441,0.09401188223176804,7.95666552639178,22.617995574826836,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.561344537815126,0.0035461490575621367,0.09237462079061576,7.776571925917035,22.127749683155248,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.5689075630252101,0.003469119126122268,0.09074177985370618,7.598501580740697,21.643249988680292,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.5764705882352942,0.003393024868375781,0.08911322384281647,7.42239734272558,21.164278411879508,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.5840336134453782,0.003317846973696816,0.08748888906801533,7.248232033557737,20.690767251493426,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.5915966386554622,0.003243571962745082,0.0858687538980808,7.075996167311432,20.222737611613976,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
