series,run_name,rev1,rev2,rev3,gammaCDff2,gammaDDff2,f,ln(c/c0),ln(d/d0),DeltaCD,DeltaDD,central_rev1,central_rev2,central_rev3,central_gammaCDff2,central_gammaDDff2,solve_seconds,t_end,tmax,event_reached,f_stop
ANME2d,central,0.32,0.97,0.86,0.979,0.92,0.3,0.02903911293471967,0.2411328491401459,2.560712767401433,-18.030706849705037,0.32,0.97,0.86,0.979,0.92,0.04552125930786133,51.88251495125309,500.0,True,0.295
ANME2d,central,0.32,0.97,0.86,0.979,0.92,0.30588235294117644,0.028647530770846103,0.23798056302326673,2.4293267215036916,-18.084589380578823,0.32,0.97,0.86,0.979,0.92,0.04552125930786133,51.88251495125309,500.0,True,0.295
ANME2d,central,0.32,0.97,0.86,0.979,0.92,0.31176470588235294,0.028261570333344314,0.23486843296632234,2.302484737414954,-18.128005064427146,0.32,0.97,0.86,0.979,0.92,0.04552125930786133,51.88251495125309,500.0,True,0.295
ANME2d,central,0.32,0.97,0.86,0.979,0.92,0.3176470588235294,0.027881054644635476,0.23179519087929934,2.1800057170969263,-18.161453534875466,0.32,0.97,0.86,0.979,0.92,0.04552125930786133,51.88251495125309,500.0,True,0.295
ANME2d,central,0.32,0.97,0.86,0.979,0.92,0.32352941176470584,0.02750581423995404,0.2287596223216686,2.061716814556001,-18.185413414801936,0.32,0.97,0.86,0.979,0.92,0.04552125930786133,51.88251495125309,500.0,True,0.295
ANME2d,central,0.32,0.97,0.86,0.979,0.92,0.32941176470588235,0.027135692404455812,0.22576061951241208,1.9474671307018847,-18.200274702892298,0.32,0.97,0.86,0.979,0.92,0.04552125930786133,51.88251495125309,500.0,True,0.295
ANME2d,central,0.32,0.97,0.86,0.979,0.92,0.3352941176470588,0.02677053946656892,0.2227971235938022,1.8371129925290652,-18.206408461774362,0.32,0.97,0.86,0.979,0.92,0.04552125930786133,51.88251495125309,500.0,True,0.295
ANME2d,central,0.32,0.97,0.86,0.979,0.92,0.3411764705882353,0.02641019986826693,0.21986799066974602,1.7304775652619688,-18.20437781861665,0.32,0.97,0.86,0.979,0.92,0.04552125930786133,51.88251495125309,500.0,True,0.295
ANME2d,central,0.32,0.97,0.86,0.979,0.92,0.34705882352941175,0.026054544512394143,0.2169723285420871,1.6274487075179194,-18.19443470252105,0.32,0.97,0.86,0.979,0.92,0.04552125930786133,51.88251495125309,500.0,True,0.295
ANME2d,central,0.32,0.97,0.86,0.979,0.92,0.3529411764705882,0.025703440573854014,0.2141091982366371,1.5279021303598548,-18.17689543728376,0.32,0.97,0.86,0.979,0.92,0.04552125930786133,51.88251495125309,500.0,True,0.295
ANME2d,central,0.32,0.97,0.86,0.979,0.92,0.3588235294117647,0.02535675782539153,0.21127767144659293,1.4317121127572534,-18.152096661336014,0.32,0.97,0.86,0.979,0.92,0.04552125930786133,51.88251495125309,500.0,True,0.295
ANME2d,central,0.32,0.97,0.86,0.979,0.92,0.36470588235294116,0.02501436906420921,0.20847683680993698,1.338755774625446,-18.12036829681993,0.32,0.97,0.86,0.979,0.92,0.04552125930786133,51.88251495125309,500.0,True,0.295
ANME2d,central,0.32,0.97,0.86,0.979,0.92,0.37058823529411766,0.02467615420455059,0.2057058380527059,1.248918600855744,-18.08201552225096,0.32,0.97,0.86,0.979,0.92,0.04552125930786133,51.88251495125309,500.0,True,0.295
ANME2d,central,0.32,0.97,0.86,0.979,0.92,0.3764705882352941,0.024342010326806426,0.2029639676913706,1.1621084627250393,-18.03727127929916,0.32,0.97,0.86,0.979,0.92,0.04552125930786133,51.88251495125309,500.0,True,0.295
ANME2d,central,0.32,0.97,0.86,0.979,0.92,0.38235294117647056,0.024011829745858932,0.2002504656581565,1.0782256910336847,-17.986395353784395,0.32,0.97,0.86,0.979,0.92,0.04552125930786133,51.88251495125309,500.0,True,0.295
ANME2d,central,0.32,0.97,0.86,0.979,0.92,0.388235294117647,0.023685505754918453,0.19756457232643287,0.9971707729459676,-17.929649457157495,0.32,0.97,0.86,0.979,0.92,0.04552125930786133,51.88251495125309,500.0,True,0.295
ANME2d,central,0.32,0.97,0.86,0.979,0.92,0.3941176470588235,0.023362936504426876,0.19490556466860956,0.9188496631676429,-17.86727963023992,0.32,0.97,0.86,0.979,0.92,0.04552125930786133,51.88251495125309,500.0,True,0.295
