series,run_name,sample_id,rev1,rev2,rev3,gammaCDff2,gammaDDff2,f,ln(c/c0),ln(d/d0),DeltaCD,DeltaDD,solve_seconds,t_end,tmax,event_reached,f_stop
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.280672268907563,0.07655815349592973,0.2782239806436604,-16.54990902071348,-51.50900880215541,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.2873949579831933,0.07517157311199456,0.27318537513061536,-16.252760135064914,-50.59985746851316,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.29411764705882354,0.07381502768790209,0.26825589171296993,-15.961957825283239,-49.709577795573246,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.3008403361344538,0.07248724542143241,0.2634309107703444,-15.677235062211581,-48.83738761807725,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.30756302521008405,0.07118700617282746,0.2587059884647449,-15.398341028903573,-47.982544957962354,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.3142857142857143,0.06991319802058607,0.2540770922509072,-15.125038585845571,-47.14435402564148,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.32100840336134456,0.06866478027727925,0.2495404502055668,-14.85710461893435,-46.322160870098294,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.32773109243697485,0.06744075398266632,0.2450924304503709,-14.59433055919867,-45.515350795588375,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.3344537815126051,0.06624017375179218,0.24072959323992096,-14.336520342331006,-44.72334514258386,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.3411764705882353,0.0650621713851739,0.2364487895408967,-14.083489392710675,-43.945605258804235,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.34789915966386553,0.06390591879951774,0.23224701313608223,-13.835062698068347,-43.18161763261579,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.3546218487394958,0.0627706103125167,0.2281213298237901,-13.591074111420598,-42.43088844325201,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.3613445378151261,0.06165551016122689,0.22406907104520213,-13.351366807457316,-41.692957956819086,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.3680672268907563,0.06055992476802023,0.22008772316797937,-13.115791971612872,-40.96739050714859,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.37478991596638656,0.05948317743862171,0.21617482562597562,-12.884208111724476,-40.25376703459319,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.38151260504201684,0.05842461960010215,0.21232801717811253,-12.656480967187658,-39.55168822232873,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.38823529411764707,0.05738363433897019,0.20854505119000205,-12.432483142809465,-38.86077486538804,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.39495798319327735,0.05635966185210072,0.204823900109659,-12.212093935188658,-38.1806744795573,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.4016806722689076,0.05535216527102718,0.20116261802552163,-11.995198157422324,-37.51104938132362,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.4084033613445378,0.05436061630407966,0.197559282837927,-11.781685754522629,-36.85157236160107,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.4151260504201681,0.053384505116164105,0.1940120369922967,-11.571451673370367,-36.20192925901555,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.4218487394957984,0.05242336191227566,0.19051917512137848,-11.364396285842822,-35.5618265079666,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.4285714285714286,0.05147674696421318,0.1870791047572236,-11.16042460181576,-34.9309864231274,0.04170703887939453,40.28366353970489,1000.0,True,0.195
